Order ID	Customer	Employee	Order Date	Required Date	Shipped Date	Ship Via	Freight	Ship Name	Ship Address	Ship City	Ship Region	Ship Postal Code	Ship Country
10332	Mère Paillarde	Leverling, Janet	17-Oct-1996	28-Nov-1996	21-Oct-1996	United Package	$52.84	Mère Paillarde	43 rue St. Laurent	Montréal	Québec	H1J 1C3	Canada
10333	Wartian Herkku	Buchanan, Steven	18-Oct-1996	15-Nov-1996	25-Oct-1996	Federal Shipping	$0.59	Wartian Herkku	Torikatu 38	Oulu		90110	Finland
10334	Victuailles en stock	Callahan, Laura	21-Oct-1996	18-Nov-1996	28-Oct-1996	United Package	$8.56	Victuailles en stock	2, rue du Commerce	Lyon		69004	France
10335	Hungry Owl All-Night Grocers	King, Robert	22-Oct-1996	19-Nov-1996	24-Oct-1996	United Package	$42.11	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10336	Princesa Isabel Vinhos	King, Robert	23-Oct-1996	20-Nov-1996	25-Oct-1996	United Package	$15.51	Princesa Isabel Vinhos	Estrada da saúde n. 58	Lisboa		1756	Portugal
10337	Frankenversand	Peacock, Margaret	24-Oct-1996	21-Nov-1996	29-Oct-1996	Federal Shipping	$108.26	Frankenversand	Berliner Platz 43	München		80805	Germany
10338	Old World Delicatessen	Peacock, Margaret	25-Oct-1996	22-Nov-1996	29-Oct-1996	Federal Shipping	$84.21	Old World Delicatessen	2743 Bering St.	Anchorage	AK	99508	USA
10339	Mère Paillarde	Fuller, Andrew	28-Oct-1996	25-Nov-1996	04-Nov-1996	United Package	$15.66	Mère Paillarde	43 rue St. Laurent	Montréal	Québec	H1J 1C3	Canada
10340	Bon app'	Davolio, Nancy	29-Oct-1996	26-Nov-1996	08-Nov-1996	Federal Shipping	$166.31	Bon app'	12, rue des Bouchers	Marseille		13008	France
10341	Simons bistro	King, Robert	29-Oct-1996	26-Nov-1996	05-Nov-1996	Federal Shipping	$26.78	Simons bistro	Vinbæltet 34	København		1734	Denmark
10342	Frankenversand	Peacock, Margaret	30-Oct-1996	13-Nov-1996	04-Nov-1996	United Package	$54.83	Frankenversand	Berliner Platz 43	München		80805	Germany
10343	Lehmanns Marktstand	Peacock, Margaret	31-Oct-1996	28-Nov-1996	06-Nov-1996	Speedy Express	$110.37	Lehmanns Marktstand	Magazinweg 7	Frankfurt a.M.		60528	Germany
10344	White Clover Markets	Peacock, Margaret	01-Nov-1996	29-Nov-1996	05-Nov-1996	United Package	$23.29	White Clover Markets	1029 - 12th Ave. S.	Seattle	WA	98124	USA
10345	QUICK-Stop	Fuller, Andrew	04-Nov-1996	02-Dec-1996	11-Nov-1996	United Package	$249.06	QUICK-Stop	Taucherstraße 10	Cunewalde		01307	Germany
10346	Rattlesnake Canyon Grocery	Leverling, Janet	05-Nov-1996	17-Dec-1996	08-Nov-1996	Federal Shipping	$142.08	Rattlesnake Canyon Grocery	2817 Milton Dr.	Albuquerque	NM	87110	USA
10347	Familia Arquibaldo	Peacock, Margaret	06-Nov-1996	04-Dec-1996	08-Nov-1996	Federal Shipping	$3.10	Familia Arquibaldo	Rua Orós, 92	São Paulo	SP	05442-030	Brazil
10348	Die Wandernde Kuh	Peacock, Margaret	07-Nov-1996	05-Dec-1996	15-Nov-1996	United Package	$0.78	Die Wandernde Kuh	Adenauerallee 900	Stuttgart		70563	Germany
10349	Split Rail Beer & Ale	King, Robert	08-Nov-1996	06-Dec-1996	15-Nov-1996	Speedy Express	$8.63	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	USA
10350	La maison d'Asie	Suyama, Michael	11-Nov-1996	09-Dec-1996	03-Dec-1996	United Package	$64.19	La maison d'Asie	1 rue Alsace-Lorraine	Toulouse		31000	France
10351	Ernst Handel	Davolio, Nancy	11-Nov-1996	09-Dec-1996	20-Nov-1996	Speedy Express	$162.33	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10352	Furia Bacalhau e Frutos do Mar	Leverling, Janet	12-Nov-1996	26-Nov-1996	18-Nov-1996	Federal Shipping	$1.30	Furia Bacalhau e Frutos do Mar	Jardim das rosas n. 32	Lisboa		1675	Portugal
10353	Piccolo und mehr	King, Robert	13-Nov-1996	11-Dec-1996	25-Nov-1996	Federal Shipping	$360.63	Piccolo und mehr	Geislweg 14	Salzburg		5020	Austria
10354	Pericles Comidas clásicas	Callahan, Laura	14-Nov-1996	12-Dec-1996	20-Nov-1996	Federal Shipping	$53.80	Pericles Comidas clásicas	Calle Dr. Jorge Cash 321	México D.F.		05033	Mexico
10355	Around the Horn	Suyama, Michael	15-Nov-1996	13-Dec-1996	20-Nov-1996	Speedy Express	$41.95	Around the Horn	Brook Farm, Stratford St. Mary	Colchester	Essex	CO7 6JX	UK
10356	Die Wandernde Kuh	Suyama, Michael	18-Nov-1996	16-Dec-1996	27-Nov-1996	United Package	$36.71	Die Wandernde Kuh	Adenauerallee 900	Stuttgart		70563	Germany
10357	LILA-Supermercado	Davolio, Nancy	19-Nov-1996	17-Dec-1996	02-Dec-1996	Federal Shipping	$34.88	LILA-Supermercado	Carrera 52 con Ave. Bolívar #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10358	La maison d'Asie	Buchanan, Steven	20-Nov-1996	18-Dec-1996	27-Nov-1996	Speedy Express	$19.64	La maison d'Asie	1 rue Alsace-Lorraine	Toulouse		31000	France
10359	Seven Seas Imports	Buchanan, Steven	21-Nov-1996	19-Dec-1996	26-Nov-1996	Federal Shipping	$288.43	Seven Seas Imports	90 Wadhurst Rd.	London		OX15 4NB	UK
10360	Blondel père et fils	Peacock, Margaret	22-Nov-1996	20-Dec-1996	02-Dec-1996	Federal Shipping	$131.70	Blondel père et fils	24, place Kléber	Strasbourg		67000	France
10361	QUICK-Stop	Davolio, Nancy	22-Nov-1996	20-Dec-1996	03-Dec-1996	United Package	$183.17	QUICK-Stop	Taucherstraße 10	Cunewalde		01307	Germany
10362	Bon app'	Leverling, Janet	25-Nov-1996	23-Dec-1996	28-Nov-1996	Speedy Express	$96.04	Bon app'	12, rue des Bouchers	Marseille		13008	France
10363	Drachenblut Delikatessen	Peacock, Margaret	26-Nov-1996	24-Dec-1996	04-Dec-1996	Federal Shipping	$30.54	Drachenblut Delikatessen	Walserweg 21	Aachen		52066	Germany
10364	Eastern Connection	Davolio, Nancy	26-Nov-1996	07-Jan-1997	04-Dec-1996	Speedy Express	$71.97	Eastern Connection	35 King George	London		WX3 6FW	UK
10365	Antonio Moreno Taquería	Leverling, Janet	27-Nov-1996	25-Dec-1996	02-Dec-1996	United Package	$22.00	Antonio Moreno Taquería	Mataderos  2312	México D.F.		05023	Mexico
10366	Galería del gastrónomo	Callahan, Laura	28-Nov-1996	09-Jan-1997	30-Dec-1996	United Package	$10.14	Galería del gastronómo	Rambla de Cataluña, 23	Barcelona		8022	Spain
10367	Vaffeljernet	King, Robert	28-Nov-1996	26-Dec-1996	02-Dec-1996	Federal Shipping	$13.55	Vaffeljernet	Smagsløget 45	Århus		8200	Denmark
10368	Ernst Handel	Fuller, Andrew	29-Nov-1996	27-Dec-1996	02-Dec-1996	United Package	$101.95	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10369	Split Rail Beer & Ale	Callahan, Laura	02-Dec-1996	30-Dec-1996	09-Dec-1996	United Package	$195.68	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	USA
10370	Chop-suey Chinese	Suyama, Michael	03-Dec-1996	31-Dec-1996	27-Dec-1996	United Package	$1.17	Chop-suey Chinese	Hauptstr. 31	Bern		3012	Switzerland
10371	La maison d'Asie	Davolio, Nancy	03-Dec-1996	31-Dec-1996	24-Dec-1996	Speedy Express	$0.45	La maison d'Asie	1 rue Alsace-Lorraine	Toulouse		31000	France
10372	Queen Cozinha	Buchanan, Steven	04-Dec-1996	01-Jan-1997	09-Dec-1996	United Package	$890.78	Queen Cozinha	Alameda dos Canàrios, 891	São Paulo	SP	05487-020	Brazil
10373	Hungry Owl All-Night Grocers	Peacock, Margaret	05-Dec-1996	02-Jan-1997	11-Dec-1996	Federal Shipping	$124.12	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10374	Wolski  Zajazd	Davolio, Nancy	05-Dec-1996	02-Jan-1997	09-Dec-1996	Federal Shipping	$3.94	Wolski Zajazd	ul. Filtrowa 68	Warszawa		01-012	Poland
10375	Hungry Coyote Import Store	Leverling, Janet	06-Dec-1996	03-Jan-1997	09-Dec-1996	United Package	$20.12	Hungry Coyote Import Store	City Center Plaza, 516 Main St.	Elgin	OR	97827	USA
10376	Mère Paillarde	Davolio, Nancy	09-Dec-1996	06-Jan-1997	13-Dec-1996	United Package	$20.39	Mère Paillarde	43 rue St. Laurent	Montréal	Québec	H1J 1C3	Canada
10377	Seven Seas Imports	Davolio, Nancy	09-Dec-1996	06-Jan-1997	13-Dec-1996	Federal Shipping	$22.21	Seven Seas Imports	90 Wadhurst Rd.	London		OX15 4NB	UK
10378	Folk och fä HB	Buchanan, Steven	10-Dec-1996	07-Jan-1997	19-Dec-1996	Federal Shipping	$5.44	Folk och fä HB	Åkergatan 24	Bräcke		S-844 67	Sweden
10379	Que Delícia	Fuller, Andrew	11-Dec-1996	08-Jan-1997	13-Dec-1996	Speedy Express	$45.03	Que Delícia	Rua da Panificadora, 12	Rio de Janeiro	RJ	02389-673	Brazil
10380	Hungry Owl All-Night Grocers	Callahan, Laura	12-Dec-1996	09-Jan-1997	16-Jan-1997	Federal Shipping	$35.03	Hungry Owl All-Night Grocers	8 Johnstown Road	Cork	Co. Cork		Ireland
10381	LILA-Supermercado	Leverling, Janet	12-Dec-1996	09-Jan-1997	13-Dec-1996	Federal Shipping	$7.99	LILA-Supermercado	Carrera 52 con Ave. Bolívar #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela
10382	Ernst Handel	Peacock, Margaret	13-Dec-1996	10-Jan-1997	16-Dec-1996	Speedy Express	$94.77	Ernst Handel	Kirchgasse 6	Graz		8010	Austria
10383	Around the Horn	Callahan, Laura	16-Dec-1996	13-Jan-1997	18-Dec-1996	Federal Shipping	$34.24	Around the Horn	Brook Farm, Stratford St. Mary	Colchester	Essex	CO7 6JX	UK
10384	Berglunds snabbköp	Leverling, Janet	16-Dec-1996	13-Jan-1997	20-Dec-1996	Federal Shipping	$168.64	Berglunds snabbköp	Berguvsvägen  8	Luleå		S-958 22	Sweden
10385	Split Rail Beer & Ale	Davolio, Nancy	17-Dec-1996	14-Jan-1997	23-Dec-1996	United Package	$30.96	Split Rail Beer & Ale	P.O. Box 555	Lander	WY	82520	USA
10386	Familia Arquibaldo	Dodsworth, Anne	18-Dec-1996	01-Jan-1997	25-Dec-1996	Federal Shipping	$13.99	Familia Arquibaldo	Rua Orós, 92	São Paulo	SP	05442-030	Brazil
10387	Santé Gourmet	Davolio, Nancy	18-Dec-1996	15-Jan-1997	20-Dec-1996	United Package	$93.63	Santé Gourmet	Erling Skakkes gate 78	Stavern		4110	Norway
