Order ID	Product	Unit Price	Quantity	Discount
10267	Boston Crab Meat	$14.70	50	0.00%
10267	Raclette Courdavault	$44.00	70	15.00%
10267	Lakkalikööri	$14.40	15	15.00%
10268	Thüringer Rostbratwurst	$99.00	10	0.00%
10268	Mozzarella di Giovanni	$27.80	4	0.00%
10269	Geitost	$2.00	60	5.00%
10269	Mozzarella di Giovanni	$27.80	20	5.00%
10270	Inlagd Sill	$15.20	30	0.00%
10270	Ipoh Coffee	$36.80	25	0.00%
10271	Geitost	$2.00	24	0.00%
10272	Sir Rodney's Marmalade	$64.80	6	0.00%
10272	Gorgonzola Telino	$10.00	40	0.00%
10272	Mozzarella di Giovanni	$27.80	24	0.00%
10273	Ikura	$24.80	24	5.00%
10273	Gorgonzola Telino	$10.00	15	5.00%
10273	Geitost	$2.00	20	0.00%
10273	Boston Crab Meat	$14.70	60	5.00%
10273	Lakkalikööri	$14.40	33	5.00%
10274	Fløtemysost	$17.20	20	0.00%
10274	Mozzarella di Giovanni	$27.80	7	0.00%
10275	Guaraná Fantástica	$3.60	12	5.00%
10275	Raclette Courdavault	$44.00	6	5.00%
10276	Ikura	$24.80	15	0.00%
10276	Konbu	$4.80	10	0.00%
10277	Rössle Sauerkraut	$36.40	20	0.00%
10277	Tarte au sucre	$39.40	12	0.00%
10278	Gula Malacca	$15.50	16	0.00%
10278	Raclette Courdavault	$44.00	15	0.00%
10278	Vegie-spread	$35.10	8	0.00%
10278	Röd Kaviar	$12.00	25	0.00%
10279	Alice Mutton	$31.20	15	25.00%
10280	Guaraná Fantástica	$3.60	12	0.00%
10280	Pâté chinois	$19.20	20	0.00%
10280	Rhönbräu Klosterbier	$6.20	30	0.00%
10281	Teatime Chocolate Biscuits	$7.30	1	0.00%
10281	Guaraná Fantástica	$3.60	6	0.00%
10281	Steeleye Stout	$14.40	4	0.00%
10282	Nord-Ost Matjeshering	$20.70	6	0.00%
10282	Ravioli Angelo	$15.60	2	0.00%
10283	Genen Shouyu	$12.40	20	0.00%
10283	Teatime Chocolate Biscuits	$7.30	18	0.00%
10283	Camembert Pierrot	$27.20	35	0.00%
10283	Mozzarella di Giovanni	$27.80	3	0.00%
10284	Schoggi Schokolade	$35.10	15	25.00%
10284	Gula Malacca	$15.50	21	0.00%
10284	Camembert Pierrot	$27.20	20	25.00%
10284	Laughing Lumberjack Lager	$11.20	5	25.00%
10285	Chai	$14.40	45	20.00%
10285	Boston Crab Meat	$14.70	40	20.00%
10285	Perth Pasties	$26.20	36	20.00%
10286	Steeleye Stout	$14.40	100	0.00%
10286	Tarte au sucre	$39.40	40	0.00%
10287	Pavlova	$13.90	40	15.00%
10287	Sasquatch Ale	$11.20	20	0.00%
10287	Spegesild	$9.60	15	15.00%
10288	Tourtière	$5.90	10	10.00%
10288	Scottish Longbreads	$10.00	3	10.00%
10289	Aniseed Syrup	$8.00	30	0.00%
10289	Wimmers gute Semmelknödel	$26.60	9	0.00%
10290	Chef Anton's Gumbo Mix	$17.00	20	0.00%
10290	Thüringer Rostbratwurst	$99.00	15	0.00%
10290	Maxilaku	$16.00	15	0.00%
10290	Original Frankfurter grüne Soße	$10.40	10	0.00%
10291	Konbu	$4.80	20	10.00%
10291	Gula Malacca	$15.50	24	10.00%
10291	Manjimup Dried Apples	$42.40	2	10.00%
10292	Sir Rodney's Marmalade	$64.80	20	0.00%
10293	Carnarvon Tigers	$50.00	12	0.00%
10293	Guaraná Fantástica	$3.60	10	0.00%
10293	Vegie-spread	$35.10	5	0.00%
10293	Rhönbräu Klosterbier	$6.20	6	0.00%
10294	Chai	$14.40	18	0.00%
10294	Alice Mutton	$31.20	15	0.00%
10294	Ipoh Coffee	$36.80	15	0.00%
10294	Camembert Pierrot	$27.20	21	0.00%
10294	Rhönbräu Klosterbier	$6.20	6	0.00%
10295	Gnocchi di nonna Alice	$30.40	4	0.00%
10296	Queso Cabrales	$16.80	12	0.00%
10296	Pavlova	$13.90	30	0.00%
10296	Gudbrandsdalsost	$28.80	15	0.00%
10297	Chartreuse verte	$14.40	60	0.00%
10297	Mozzarella di Giovanni	$27.80	20	0.00%
10298	Chang	$15.20	40	0.00%
10298	Inlagd Sill	$15.20	40	25.00%
10298	Raclette Courdavault	$44.00	30	25.00%
10298	Tarte au sucre	$39.40	15	0.00%
10299	Teatime Chocolate Biscuits	$7.30	15	0.00%
10299	Outback Lager	$12.00	20	0.00%
10300	Louisiana Hot Spiced Okra	$13.60	30	0.00%
10300	Scottish Longbreads	$10.00	20	0.00%
10301	Boston Crab Meat	$14.70	10	0.00%
10301	Gnocchi di nonna Alice	$30.40	20	0.00%
10302	Alice Mutton	$31.20	40	0.00%
10302	Rössle Sauerkraut	$36.40	28	0.00%
10302	Ipoh Coffee	$36.80	12	0.00%
10303	Boston Crab Meat	$14.70	40	10.00%
10303	Louisiana Fiery Hot Pepper Sauce	$16.80	30	10.00%
10303	Scottish Longbreads	$10.00	15	10.00%
10304	Maxilaku	$16.00	30	0.00%
10304	Raclette Courdavault	$44.00	10	0.00%
10304	Fløtemysost	$17.20	2	0.00%
10305	Carnarvon Tigers	$50.00	25	10.00%
10305	Thüringer Rostbratwurst	$99.00	25	10.00%
10305	Chartreuse verte	$14.40	30	10.00%
10306	Nord-Ost Matjeshering	$20.70	10	0.00%
10306	Perth Pasties	$26.20	10	0.00%
10306	Tourtière	$5.90	5	0.00%
10307	Tarte au sucre	$39.40	10	0.00%
10307	Scottish Longbreads	$10.00	3	0.00%
10308	Gudbrandsdalsost	$28.80	1	0.00%
10308	Outback Lager	$12.00	5	0.00%
10309	Chef Anton's Cajun Seasoning	$17.60	20	0.00%
10309	Grandma's Boysenberry Spread	$20.00	30	0.00%
10309	Singaporean Hokkien Fried Mee	$11.20	2	0.00%
10309	Ipoh Coffee	$36.80	20	0.00%
10309	Fløtemysost	$17.20	3	0.00%
10310	Pavlova	$13.90	10	0.00%
10310	Tarte au sucre	$39.40	5	0.00%
10311	Singaporean Hokkien Fried Mee	$11.20	6	0.00%
10311	Gudbrandsdalsost	$28.80	7	0.00%
10312	Rössle Sauerkraut	$36.40	4	0.00%
10312	Ipoh Coffee	$36.80	24	0.00%
10312	Perth Pasties	$26.20	20	0.00%
10312	Rhönbräu Klosterbier	$6.20	10	0.00%
10313	Inlagd Sill	$15.20	12	0.00%
10314	Mascarpone Fabioli	$25.60	40	10.00%
10314	Escargots de Bourgogne	$10.60	30	10.00%
10314	Tarte au sucre	$39.40	25	10.00%
10315	Sasquatch Ale	$11.20	14	0.00%
10315	Outback Lager	$12.00	30	0.00%
10316	Jack's New England Clam Chowder	$7.70	10	0.00%
10316	Tarte au sucre	$39.40	70	0.00%
10317	Chai	$14.40	20	0.00%
10318	Jack's New England Clam Chowder	$7.70	20	0.00%
10318	Lakkalikööri	$14.40	6	0.00%
10319	Alice Mutton	$31.20	8	0.00%
10319	Rössle Sauerkraut	$36.40	14	0.00%
10319	Lakkalikööri	$14.40	30	0.00%
10320	Fløtemysost	$17.20	30	0.00%
10321	Steeleye Stout	$14.40	10	0.00%
10322	Filo Mix	$5.60	20	0.00%
10323	Genen Shouyu	$12.40	5	0.00%
10323	NuNuCa Nuß-Nougat-Creme	$11.20	4	0.00%
10323	Chartreuse verte	$14.40	4	0.00%
10324	Pavlova	$13.90	21	15.00%
10324	Steeleye Stout	$14.40	70	15.00%
10324	Spegesild	$9.60	30	0.00%
10324	Raclette Courdavault	$44.00	40	15.00%
10324	Vegie-spread	$35.10	80	15.00%
10325	Grandma's Boysenberry Spread	$20.00	6	0.00%
10325	Konbu	$4.80	12	0.00%
10325	Tofu	$18.60	9	0.00%
10325	Gorgonzola Telino	$10.00	4	0.00%
10325	Mozzarella di Giovanni	$27.80	40	0.00%
10326	Chef Anton's Cajun Seasoning	$17.60	24	0.00%
10326	Ravioli Angelo	$15.60	16	0.00%
10326	Rhönbräu Klosterbier	$6.20	50	0.00%
10327	Chang	$15.20	25	20.00%
10327	Queso Cabrales	$16.80	50	20.00%
10327	Nord-Ost Matjeshering	$20.70	35	20.00%
10327	Escargots de Bourgogne	$10.60	30	20.00%
10328	Raclette Courdavault	$44.00	9	0.00%
10328	Louisiana Fiery Hot Pepper Sauce	$16.80	40	0.00%
10328	Scottish Longbreads	$10.00	10	0.00%
10329	Teatime Chocolate Biscuits	$7.30	10	5.00%
10329	Nord-Ost Matjeshering	$20.70	8	5.00%
10329	Côte de Blaye	$210.80	20	5.00%
10329	Gnocchi di nonna Alice	$30.40	12	5.00%
10330	Gumbär Gummibärchen	$24.90	50	15.00%
10330	Mozzarella di Giovanni	$27.80	25	15.00%
10331	Tourtière	$5.90	15	0.00%
10332	Carnarvon Tigers	$50.00	40	20.00%
10332	Singaporean Hokkien Fried Mee	$11.20	10	20.00%
10332	Zaanse koeken	$7.60	16	20.00%
10333	Tofu	$18.60	10	0.00%
10333	Sir Rodney's Scones	$8.00	10	10.00%
10333	Fløtemysost	$17.20	40	10.00%
10334	Filo Mix	$5.60	8	0.00%
10334	Scottish Longbreads	$10.00	10	0.00%
10335	Chang	$15.20	7	20.00%
10335	Gorgonzola Telino	$10.00	25	20.00%
10335	Mascarpone Fabioli	$25.60	6	20.00%
10335	Manjimup Dried Apples	$42.40	48	20.00%
10336	Chef Anton's Cajun Seasoning	$17.60	18	10.00%
10337	Tunnbröd	$7.20	40	0.00%
10337	Gumbär Gummibärchen	$24.90	24	0.00%
10337	Inlagd Sill	$15.20	20	0.00%
10337	Gravad lax	$20.80	28	0.00%
10337	Mozzarella di Giovanni	$27.80	25	0.00%
10338	Alice Mutton	$31.20	20	0.00%
10338	Nord-Ost Matjeshering	$20.70	15	0.00%
10339	Chef Anton's Cajun Seasoning	$17.60	10	0.00%
10339	Alice Mutton	$31.20	70	5.00%
10339	Tarte au sucre	$39.40	28	0.00%
10340	Carnarvon Tigers	$50.00	20	5.00%
10340	Jack's New England Clam Chowder	$7.70	12	5.00%
10340	Ipoh Coffee	$36.80	40	5.00%
10341	Geitost	$2.00	8	0.00%
10341	Raclette Courdavault	$44.00	9	15.00%
10342	Chang	$15.20	24	20.00%
10342	Gorgonzola Telino	$10.00	56	20.00%
10342	Inlagd Sill	$15.20	40	20.00%
10342	Pâté chinois	$19.20	40	20.00%
10343	Wimmers gute Semmelknödel	$26.60	50	0.00%
10343	Scottish Longbreads	$10.00	4	5.00%
10343	Lakkalikööri	$14.40	15	0.00%
10344	Chef Anton's Cajun Seasoning	$17.60	35	0.00%
10344	Northwoods Cranberry Sauce	$32.00	70	25.00%
10345	Northwoods Cranberry Sauce	$32.00	70	0.00%
10345	Teatime Chocolate Biscuits	$7.30	80	0.00%
10345	Singaporean Hokkien Fried Mee	$11.20	9	0.00%
10346	Alice Mutton	$31.20	36	10.00%
10346	Gnocchi di nonna Alice	$30.40	20	0.00%
10347	NuNuCa Nuß-Nougat-Creme	$11.20	10	0.00%
10347	Chartreuse verte	$14.40	50	15.00%
10347	Boston Crab Meat	$14.70	4	0.00%
10347	Rhönbräu Klosterbier	$6.20	6	15.00%
10348	Chai	$14.40	15	15.00%
10348	Tunnbröd	$7.20	25	0.00%
10349	Tourtière	$5.90	24	0.00%
10350	Valkoinen suklaa	$13.00	15	10.00%
10350	Gudbrandsdalsost	$28.80	18	10.00%
10351	Côte de Blaye	$210.80	20	5.00%
10351	Jack's New England Clam Chowder	$7.70	13	0.00%
10351	Gula Malacca	$15.50	77	5.00%
10351	Louisiana Fiery Hot Pepper Sauce	$16.80	10	5.00%
10352	Guaraná Fantástica	$3.60	10	0.00%
10352	Tourtière	$5.90	20	15.00%
10353	Queso Cabrales	$16.80	12	20.00%
10353	Côte de Blaye	$210.80	50	20.00%
10354	Chai	$14.40	12	0.00%
10354	Thüringer Rostbratwurst	$99.00	4	0.00%
10355	Guaraná Fantástica	$3.60	25	0.00%
10355	Ravioli Angelo	$15.60	25	0.00%
10356	Gorgonzola Telino	$10.00	30	0.00%
10356	Pâté chinois	$19.20	12	0.00%
10356	Gudbrandsdalsost	$28.80	20	0.00%
10357	Ikura	$24.80	30	20.00%
10357	Gumbär Gummibärchen	$24.90	16	0.00%
10357	Camembert Pierrot	$27.20	8	20.00%
10358	Guaraná Fantástica	$3.60	10	5.00%
10358	Sasquatch Ale	$11.20	10	5.00%
10358	Inlagd Sill	$15.20	20	5.00%
10359	Pavlova	$13.90	56	5.00%
10359	Gorgonzola Telino	$10.00	70	5.00%
10359	Camembert Pierrot	$27.20	80	5.00%
10360	Rössle Sauerkraut	$36.40	30	0.00%
10360	Thüringer Rostbratwurst	$99.00	35	0.00%
10360	Côte de Blaye	$210.80	10	0.00%
10360	Maxilaku	$16.00	35	0.00%
10360	Tourtière	$5.90	28	0.00%
10361	Chartreuse verte	$14.40	54	10.00%
10361	Camembert Pierrot	$27.20	55	10.00%
10362	NuNuCa Nuß-Nougat-Creme	$11.20	50	0.00%
10362	Manjimup Dried Apples	$42.40	20	0.00%
10362	Tourtière	$5.90	24	0.00%
10363	Gorgonzola Telino	$10.00	20	0.00%
10363	Rhönbräu Klosterbier	$6.20	12	0.00%
10363	Lakkalikööri	$14.40	12	0.00%
10364	Gudbrandsdalsost	$28.80	30	0.00%
10364	Fløtemysost	$17.20	5	0.00%
10365	Queso Cabrales	$16.80	24	0.00%
10366	Louisiana Fiery Hot Pepper Sauce	$16.80	5	0.00%
10366	Original Frankfurter grüne Soße	$10.40	5	0.00%
10367	Sasquatch Ale	$11.20	36	0.00%
10367	Tourtière	$5.90	18	0.00%
10367	Louisiana Fiery Hot Pepper Sauce	$16.80	15	0.00%
10367	Original Frankfurter grüne Soße	$10.40	7	0.00%
10368	Sir Rodney's Scones	$8.00	5	10.00%
10368	Rössle Sauerkraut	$36.40	13	10.00%
10368	Ravioli Angelo	$15.60	25	0.00%
10368	Wimmers gute Semmelknödel	$26.60	35	10.00%
10369	Thüringer Rostbratwurst	$99.00	20	0.00%
10369	Gnocchi di nonna Alice	$30.40	18	25.00%
10370	Chai	$14.40	15	15.00%
10370	Wimmers gute Semmelknödel	$26.60	30	0.00%
10370	Longlife Tofu	$8.00	20	15.00%
10371	Inlagd Sill	$15.20	6	20.00%
10372	Sir Rodney's Marmalade	$64.80	12	25.00%
10372	Côte de Blaye	$210.80	40	25.00%
10372	Camembert Pierrot	$27.20	70	25.00%
10372	Mozzarella di Giovanni	$27.80	42	25.00%
10373	Escargots de Bourgogne	$10.60	80	20.00%
10373	Fløtemysost	$17.20	50	20.00%
10374	Gorgonzola Telino	$10.00	30	0.00%
10374	Escargots de Bourgogne	$10.60	15	0.00%
10375	Tofu	$18.60	15	0.00%
10375	Tourtière	$5.90	10	0.00%
10376	Gorgonzola Telino	$10.00	42	5.00%
10377	Rössle Sauerkraut	$36.40	20	15.00%
10377	Chartreuse verte	$14.40	20	15.00%
10378	Fløtemysost	$17.20	6	0.00%
10379	Jack's New England Clam Chowder	$7.70	8	10.00%
10379	Vegie-spread	$35.10	16	10.00%
10379	Louisiana Fiery Hot Pepper Sauce	$16.80	20	10.00%
10380	Nord-Ost Matjeshering	$20.70	18	10.00%
10380	Perth Pasties	$26.20	20	10.00%
10380	Camembert Pierrot	$27.20	6	10.00%
10380	Outback Lager	$12.00	30	0.00%
10381	Longlife Tofu	$8.00	14	0.00%
10382	Chef Anton's Gumbo Mix	$17.00	32	0.00%
10382	Carnarvon Tigers	$50.00	9	0.00%
10382	Thüringer Rostbratwurst	$99.00	14	0.00%
10382	Geitost	$2.00	60	0.00%
10382	Longlife Tofu	$8.00	50	0.00%
10383	Konbu	$4.80	20	0.00%
10383	Valkoinen suklaa	$13.00	15	0.00%
10383	Gnocchi di nonna Alice	$30.40	20	0.00%
10384	Sir Rodney's Marmalade	$64.80	28	0.00%
10384	Camembert Pierrot	$27.20	15	0.00%
10385	Uncle Bob's Organic Dried Pears	$24.00	10	20.00%
10385	Camembert Pierrot	$27.20	20	20.00%
10385	Scottish Longbreads	$10.00	8	20.00%
10386	Guaraná Fantástica	$3.60	15	0.00%
10386	Sasquatch Ale	$11.20	10	0.00%
10387	Guaraná Fantástica	$3.60	15	0.00%
10387	Rössle Sauerkraut	$36.40	6	0.00%
10387	Raclette Courdavault	$44.00	12	0.00%
10387	Fløtemysost	$17.20	15	0.00%
10388	Røgede sild	$7.60	15	20.00%
10388	Filo Mix	$5.60	20	20.00%
10388	Perth Pasties	$26.20	40	0.00%
10389	Ikura	$24.80	16	0.00%
10389	Pâté chinois	$19.20	15	0.00%
10389	Tarte au sucre	$39.40	20	0.00%
10389	Outback Lager	$12.00	30	0.00%
10390	Gorgonzola Telino	$10.00	60	10.00%
10390	Steeleye Stout	$14.40	40	10.00%
10390	Spegesild	$9.60	45	0.00%
10390	Mozzarella di Giovanni	$27.80	24	10.00%
10391	Konbu	$4.80	18	0.00%
10392	Gudbrandsdalsost	$28.80	50	0.00%
10393	Chang	$15.20	25	25.00%
10393	Tofu	$18.60	42	25.00%
10393	NuNuCa Nuß-Nougat-Creme	$11.20	7	25.00%
10393	Gumbär Gummibärchen	$24.90	70	25.00%
10393	Gorgonzola Telino	$10.00	32	0.00%
10394	Konbu	$4.80	10	0.00%
10394	Tarte au sucre	$39.40	10	0.00%
10395	Spegesild	$9.60	28	10.00%
10395	Perth Pasties	$26.20	70	10.00%
10395	Gudbrandsdalsost	$28.80	8	0.00%
10396	Tunnbröd	$7.20	40	0.00%
10396	Fløtemysost	$17.20	60	0.00%
10396	Mozzarella di Giovanni	$27.80	21	0.00%
10397	Sir Rodney's Scones	$8.00	10	15.00%
10397	Manjimup Dried Apples	$42.40	18	15.00%
10398	Steeleye Stout	$14.40	30	0.00%
10398	Pâté chinois	$19.20	120	10.00%
10399	Scottish Longbreads	$10.00	60	0.00%
10399	Fløtemysost	$17.20	30	0.00%
10399	Lakkalikööri	$14.40	35	0.00%
10399	Original Frankfurter grüne Soße	$10.40	14	0.00%
10400	Thüringer Rostbratwurst	$99.00	21	0.00%
10400	Steeleye Stout	$14.40	35	0.00%
10400	Maxilaku	$16.00	30	0.00%
10401	Nord-Ost Matjeshering	$20.70	18	0.00%
10401	Gnocchi di nonna Alice	$30.40	70	0.00%
10401	Louisiana Fiery Hot Pepper Sauce	$16.80	20	0.00%
10401	Fløtemysost	$17.20	60	0.00%
10402	Tunnbröd	$7.20	60	0.00%
10402	Vegie-spread	$35.10	65	0.00%
10403	Pavlova	$13.90	21	15.00%
10403	Chocolade	$10.20	70	15.00%
10404	Gumbär Gummibärchen	$24.90	30	5.00%
10404	Singaporean Hokkien Fried Mee	$11.20	40	5.00%
10404	Maxilaku	$16.00	30	5.00%
10405	Aniseed Syrup	$8.00	50	0.00%
10406	Chai	$14.40	10	0.00%
10406	Sir Rodney's Scones	$8.00	30	10.00%
10406	Rössle Sauerkraut	$36.40	42	10.00%
10406	Inlagd Sill	$15.20	5	10.00%
10406	Boston Crab Meat	$14.70	2	10.00%
10407	Queso Cabrales	$16.80	30	0.00%
10407	Gudbrandsdalsost	$28.80	15	0.00%
10407	Fløtemysost	$17.20	15	0.00%
10408	Gravad lax	$20.80	10	0.00%
10408	Tourtière	$5.90	6	0.00%
10408	Tarte au sucre	$39.40	35	0.00%
10409	Tofu	$18.60	12	0.00%
10409	Sir Rodney's Scones	$8.00	12	0.00%
10410	Geitost	$2.00	49	0.00%
10410	Raclette Courdavault	$44.00	16	0.00%
10411	Jack's New England Clam Chowder	$7.70	25	20.00%
10411	Gula Malacca	$15.50	40	20.00%
10411	Raclette Courdavault	$44.00	9	20.00%
10412	Tofu	$18.60	20	10.00%
10413	Chai	$14.40	24	0.00%
10413	Tarte au sucre	$39.40	40	0.00%
10413	Lakkalikööri	$14.40	14	0.00%
10414	Teatime Chocolate Biscuits	$7.30	18	5.00%
10414	Geitost	$2.00	50	0.00%
10415	Alice Mutton	$31.20	2	0.00%
10415	Geitost	$2.00	20	0.00%
10416	Teatime Chocolate Biscuits	$7.30	20	0.00%
10416	Perth Pasties	$26.20	10	0.00%
10416	Ravioli Angelo	$15.60	20	0.00%
10417	Côte de Blaye	$210.80	50	0.00%
10417	Spegesild	$9.60	2	25.00%
10417	Scottish Longbreads	$10.00	36	25.00%
10417	Original Frankfurter grüne Soße	$10.40	35	0.00%
10418	Chang	$15.20	60	0.00%
10418	Zaanse koeken	$7.60	55	0.00%
10418	Sirop d'érable	$22.80	16	0.00%
10418	Longlife Tofu	$8.00	15	0.00%
10419	Camembert Pierrot	$27.20	60	5.00%
10419	Gudbrandsdalsost	$28.80	20	5.00%
10420	Mishi Kobe Niku	$77.60	20	10.00%
10420	Konbu	$4.80	2	10.00%
10420	Outback Lager	$12.00	8	10.00%
10420	Röd Kaviar	$12.00	20	10.00%
10421	Teatime Chocolate Biscuits	$7.30	4	15.00%
10421	Gumbär Gummibärchen	$24.90	30	0.00%
10421	Perth Pasties	$26.20	15	15.00%
10421	Original Frankfurter grüne Soße	$10.40	10	15.00%
10422	Gumbär Gummibärchen	$24.90	2	0.00%
10423	Gorgonzola Telino	$10.00	14	0.00%
10423	Raclette Courdavault	$44.00	20	0.00%
10424	Steeleye Stout	$14.40	60	20.00%
10424	Côte de Blaye	$210.80	49	20.00%
10424	Scottish Longbreads	$10.00	30	20.00%
10425	Pâté chinois	$19.20	10	25.00%
10425	Lakkalikööri	$14.40	20	25.00%
10426	Gnocchi di nonna Alice	$30.40	5	0.00%
10426	Wimmers gute Semmelknödel	$26.60	7	0.00%
10427	Tofu	$18.60	35	0.00%
10428	Spegesild	$9.60	20	0.00%
10429	Valkoinen suklaa	$13.00	40	0.00%
10429	Vegie-spread	$35.10	35	25.00%
10430	Alice Mutton	$31.20	45	20.00%
10430	Sir Rodney's Scones	$8.00	50	0.00%
10430	Gnocchi di nonna Alice	$30.40	30	0.00%
10430	Raclette Courdavault	$44.00	70	20.00%
10431	Alice Mutton	$31.20	50	25.00%
10431	Boston Crab Meat	$14.70	50	25.00%
10431	Zaanse koeken	$7.60	30	25.00%
10432	Gumbär Gummibärchen	$24.90	10	0.00%
10432	Tourtière	$5.90	40	0.00%
10433	Gnocchi di nonna Alice	$30.40	28	0.00%
10434	Queso Cabrales	$16.80	6	0.00%
10434	Lakkalikööri	$14.40	18	15.00%
10435	Chang	$15.20	10	0.00%
10435	Gustaf's Knäckebröd	$16.80	12	0.00%
10435	Mozzarella di Giovanni	$27.80	10	0.00%
10436	Spegesild	$9.60	5	0.00%
10436	Gnocchi di nonna Alice	$30.40	40	10.00%
10436	Wimmers gute Semmelknödel	$26.60	30	10.00%
10436	Rhönbräu Klosterbier	$6.20	24	10.00%
10437	Perth Pasties	$26.20	15	0.00%
10438	Teatime Chocolate Biscuits	$7.30	15	20.00%
10438	Sasquatch Ale	$11.20	20	20.00%
10438	Ravioli Angelo	$15.60	15	20.00%
10439	Queso Manchego La Pastora	$30.40	15	0.00%
10439	Pavlova	$13.90	16	0.00%
10439	Wimmers gute Semmelknödel	$26.60	6	0.00%
10439	Longlife Tofu	$8.00	30	0.00%
10440	Chang	$15.20	45	15.00%
10440	Pavlova	$13.90	49	15.00%
10440	Thüringer Rostbratwurst	$99.00	24	15.00%
10440	Sirop d'érable	$22.80	90	15.00%
10441	Schoggi Schokolade	$35.10	50	0.00%
10442	Queso Cabrales	$16.80	30	0.00%
10442	Tourtière	$5.90	80	0.00%
10442	Louisiana Hot Spiced Okra	$13.60	60	0.00%
10443	Queso Cabrales	$16.80	6	20.00%
10443	Rössle Sauerkraut	$36.40	12	0.00%
10444	Alice Mutton	$31.20	10	0.00%
10444	Gumbär Gummibärchen	$24.90	15	0.00%
10444	Steeleye Stout	$14.40	8	0.00%
10444	Jack's New England Clam Chowder	$7.70	30	0.00%
10445	Chartreuse verte	$14.40	6	0.00%
10445	Tourtière	$5.90	15	0.00%
10446	Teatime Chocolate Biscuits	$7.30	12	10.00%
10446	Guaraná Fantástica	$3.60	20	10.00%
10446	Gorgonzola Telino	$10.00	3	10.00%
10446	Filo Mix	$5.60	15	10.00%
10447	Teatime Chocolate Biscuits	$7.30	40	0.00%
10447	Louisiana Fiery Hot Pepper Sauce	$16.80	35	0.00%
10447	Fløtemysost	$17.20	2	0.00%
10448	Gumbär Gummibärchen	$24.90	6	0.00%
10448	Boston Crab Meat	$14.70	20	0.00%
10449	Ikura	$24.80	14	0.00%
10449	Filo Mix	$5.60	20	0.00%
10449	Tarte au sucre	$39.40	35	0.00%
10450	Ikura	$24.80	20	20.00%
10450	Tourtière	$5.90	6	20.00%
10451	Pâté chinois	$19.20	120	10.00%
10451	Wimmers gute Semmelknödel	$26.60	35	10.00%
10451	Louisiana Fiery Hot Pepper Sauce	$16.80	28	10.00%
10451	Original Frankfurter grüne Soße	$10.40	55	10.00%
10452	Rössle Sauerkraut	$36.40	15	0.00%
10452	Gula Malacca	$15.50	100	5.00%
10453	Chocolade	$10.20	15	10.00%
10453	Outback Lager	$12.00	25	10.00%
10454	Pavlova	$13.90	20	20.00%
10454	Geitost	$2.00	20	20.00%
10454	Spegesild	$9.60	10	20.00%
10455	Chartreuse verte	$14.40	20	0.00%
